:ID,:START_ID,:END_ID,:TYPE,importance:Double
e_0000001,d_abscess,s_pain,CAUSES,0.318
e_0000002,d_abscess,s_fever,CAUSES,0.119
e_0000003,d_abscess,s_swelling,CAUSES,0.112
e_0000004,d_abscess,s_redness,CAUSES,0.094
e_0000005,d_abscess,s_chills,CAUSES,0.092
e_0000006,d_abscess,s_infection,CAUSES,0.083
e_0000007,d_abscess,s_cyst,CAUSES,0.047
e_0000008,d_abscess,s_tenderness,CAUSES,0.037
e_0000009,d_abscess,s_rectal_pain,CAUSES,0.026
e_0000010,d_abscess,s_lesion,CAUSES,0.025
e_0000011,d_abscess,s_lump,CAUSES,0.023
e_0000012,d_abscess,s_sore_throat,CAUSES,0.021
e_0000013,d_abscess,s_facial_swelling,CAUSES,0.016
e_0000014,d_abscess,s_pimple,CAUSES,0.016
e_0000015,d_abscess,s_discomfort,CAUSES,0.014
e_0000016,d_abscess,s_difficulty_swallowing,CAUSES,0.013
e_0000017,d_abscess,s_cavity,CAUSES,0.013
e_0000018,d_abscess,s_night_sweats,CAUSES,0.007
e_0000019,d_abscess,s_severe_pain,CAUSES,0.007
e_0000020,d_abscess,s_abdominal_pain,CAUSES,0.007
e_0000021,d_abscess,s_painful_swallowing,CAUSES,0.007
e_0000022,d_abscess,s_back_pain,CAUSES,0.006
e_0000023,d_acid_reflux,s_pain,CAUSES,0.225
e_0000024,d_acid_reflux,s_nausea,CAUSES,0.14
e_0000025,d_acid_reflux,s_pain_in_upper_abdomen,CAUSES,0.064
e_0000026,d_acid_reflux,s_abdominal_pain,CAUSES,0.058
e_0000027,d_acid_reflux,s_sadness,CAUSES,0.052
e_0000028,d_acid_reflux,s_depression,CAUSES,0.052
e_0000029,d_acid_reflux,s_vomiting,CAUSES,0.048
e_0000030,d_acid_reflux,s_anxiety,CAUSES,0.045
e_0000031,d_acid_reflux,s_diarrhea,CAUSES,0.044
e_0000032,d_acid_reflux,s_discomfort,CAUSES,0.034
e_0000033,d_acid_reflux,s_indigestion,CAUSES,0.03
e_0000034,d_acid_reflux,s_chills,CAUSES,0.022
e_0000035,d_acid_reflux,s_constipation,CAUSES,0.021
e_0000036,d_acid_reflux,s_dizziness,CAUSES,0.021
e_0000037,d_acid_reflux,s_heartburn,CAUSES,0.02
e_0000038,d_acid_reflux,s_chest_pressure,CAUSES,0.017
e_0000039,d_acid_reflux,s_coughing,CAUSES,0.015
e_0000040,d_acid_reflux,s_difficulty_swallowing,CAUSES,0.014
e_0000041,d_acid_reflux,s_tenderness,CAUSES,0.014
e_0000042,d_acid_reflux,s_lightheadedness,CAUSES,0.013
e_0000043,d_acid_reflux,s_shortness_of_breath,CAUSES,0.012
e_0000044,d_acid_reflux,s_belching,CAUSES,0.012
e_0000045,d_acid_reflux,s_racing_heartbeat,CAUSES,0.011
e_0000046,d_acid_reflux,s_chest_discomfort,CAUSES,0.011
e_0000047,d_acid_reflux,s_burning_sensation,CAUSES,0.011
e_0000048,d_acid_reflux,s_discomfort_in_upper_abdomen,CAUSES,0.01
e_0000049,d_acid_reflux,s_chest_tightness,CAUSES,0.009
